X,Y,OBS,RTO09,RTO11,RTO13,ALT,IV1101,XCOORD,YCOORD
317321.5,6276696.5,81.00,4002.31464,3801.16229,4304.00,503.83560,0.56950,317321.500000,6276696.500000
317330.5,6276696.5,82.00,3509.16843,3109.39204,4442.00,503.88705,0.57339,317330.500000,6276696.500000
317339.5,6276696.5,83.00,3325.84301,3603.48167,3970.00,503.93950,0.57814,317339.500000,6276696.500000
317348.5,6276696.5,84.00,3146.20541,3702.72867,3980.00,503.99395,0.57948,317348.500000,6276696.500000
317357.5,6276696.5,85.00,4360.38532,3790.73631,3974.00,504.05215,0.57104,317357.500000,6276696.500000
317366.5,6276696.5,86.00,3637.13666,3765.01317,3169.00,504.11205,0.56251,317366.500000,6276696.500000
317375.5,6276696.5,87.00,3182.54356,3702.20926,3554.00,504.20047,0.55443,317375.500000,6276696.500000
317384.5,6276696.5,88.00,2789.12229,3292.07288,3283.00,504.28650,0.54531,317384.500000,6276696.500000
317393.5,6276696.5,89.00,2538.62432,3393.22637,2899.00,504.34370,0.53586,317393.500000,6276696.500000
317402.5,6276696.5,90.00,3120.56772,3605.91292,3045.00,504.40605,0.52448,317402.500000,6276696.500000
317411.5,6276696.5,91.00,3601.49315,3512.65819,2807.00,504.46360,0.51604,317411.500000,6276696.500000
317420.5,6276696.5,92.00,3658.36543,3547.71892,2663.00,504.51235,0.51212,317420.500000,6276696.500000
317429.5,6276696.5,93.00,3209.42003,3056.39003,2697.00,504.55130,0.50803,317429.500000,6276696.500000
317438.5,6276696.5,94.00,3042.72000,3393.09477,2806.00,504.58425,0.50388,317438.500000,6276696.500000
317447.5,6276696.5,95.00,2936.18540,3343.79707,2734.00,504.62340,0.50027,317447.500000,6276696.500000
317456.5,6276696.5,96.00,2803.91986,3272.80745,2735.00,504.69160,0.49658,317456.500000,6276696.500000
317465.5,6276696.5,97.00,2180.29504,3165.72086,2714.00,504.76520,0.49188,317465.500000,6276696.500000
317474.5,6276696.5,98.00,2084.60323,3682.64201,2760.00,504.83090,0.48987,317474.500000,6276696.500000
317483.5,6276696.5,99.00,2126.22753,3533.07659,2407.00,504.88445,0.48914,317483.500000,6276696.500000
317492.5,6276696.5,100.00,2353.03139,3515.70692,2455.00,504.92660,0.48818,317492.500000,6276696.500000
317501.5,6276696.5,101.00,2715.09295,3522.51497,2186.00,504.97913,0.49004,317501.500000,6276696.500000
317510.5,6276696.5,102.00,2996.84126,3678.64409,2693.00,505.02610,0.49576,317510.500000,6276696.500000
317519.5,6276696.5,103.00,2921.38386,3513.14992,2690.00,505.04610,0.50147,317519.500000,6276696.500000
317528.5,6276696.5,104.00,2863.29732,3607.40895,2497.00,505.05215,0.50493,317528.500000,6276696.500000
317537.5,6276696.5,105.00,2961.76639,3781.37782,2088.00,505.04250,0.49552,317537.500000,6276696.500000
317546.5,6276696.5,106.00,2511.99483,3617.32153,2170.00,505.01820,0.48589,317546.500000,6276696.500000
317555.5,6276696.5,107.00,2256.36156,3680.94406,2194.00,504.98220,0.47579,317555.500000,6276696.500000
317564.5,6276696.5,108.00,2312.01358,3034.54449,2085.00,504.93435,0.46120,317564.500000,6276696.500000
317573.5,6276696.5,109.00,1998.56686,2985.60531,2123.00,504.87685,0.44467,317573.500000,6276696.500000
317582.5,6276696.5,110.00,1635.83553,3367.97761,2278.00,504.81325,0.42760,317582.500000,6276696.500000
317591.5,6276696.5,111.00,2119.24260,3558.46059,2576.00,504.74620,0.41580,317591.500000,6276696.500000
317600.5,6276696.5,112.00,2659.53085,3347.85792,2626.00,504.67615,0.41915,317600.500000,6276696.500000
317609.5,6276696.5,113.00,3150.49857,3511.84302,3373.00,504.60630,0.42156,317609.500000,6276696.500000
317618.5,6276696.5,114.00,2945.23915,3470.07369,3793.00,504.53745,0.42473,317618.500000,6276696.500000
317627.5,6276696.5,115.00,3318.96094,3643.26263,3515.00,504.43485,0.43255,317627.500000,6276696.500000
317636.5,6276696.5,116.00,3387.29373,3386.61375,3255.00,504.33625,0.44024,317636.500000,6276696.500000
317645.5,6276696.5,117.00,3297.65033,3509.93553,2849.00,504.25985,0.44640,317645.500000,6276696.500000
317654.5,6276696.5,118.00,3377.41787,4014.04265,2948.00,504.17040,0.44722,317654.500000,6276696.500000
317663.5,6276696.5,119.00,3585.76801,3603.45681,2766.00,504.07245,0.44309,317663.500000,6276696.500000
317672.5,6276696.5,120.00,3372.03697,4032.01315,2946.00,503.97990,0.43835,317672.500000,6276696.500000
317681.5,6276696.5,121.00,3132.96533,3874.83407,3291.00,503.94000,0.43764,317681.500000,6276696.500000
317690.5,6276696.5,122.00,2757.15137,3686.99556,3181.00,503.90390,0.44124,317690.500000,6276696.500000
317699.5,6276696.5,123.00,3240.27778,3478.36308,3474.00,503.85950,0.44395,317699.500000,6276696.500000
317708.5,6276696.5,124.00,3084.46346,3364.28636,3084.00,503.80765,0.44615,317708.500000,6276696.500000
317717.5,6276696.5,125.00,3214.60743,3487.12754,3293.00,503.75070,0.44886,317717.500000,6276696.500000
317726.5,6276696.5,126.00,3305.21564,3311.80007,3263.00,503.69565,0.45077,317726.500000,6276696.500000
317735.5,6276696.5,127.00,2945.12296,3639.46901,3617.00,503.65580,0.45109,317735.500000,6276696.500000
317744.5,6276696.5,128.00,3058.55690,3591.49460,3419.00,503.62075,0.45020,317744.500000,6276696.500000
317753.5,6276696.5,129.00,2962.44547,3559.93506,3690.00,503.56568,0.44868,317753.500000,6276696.500000
317762.5,6276696.5,130.00,3226.96839,3313.75402,3683.00,503.51195,0.44530,317762.500000,6276696.500000
317771.5,6276696.5,131.00,3284.33652,3460.60825,3652.00,503.48610,0.44104,317771.500000,6276696.500000
317780.5,6276696.5,132.00,3414.34765,3769.27388,3745.00,503.47370,0.43477,317780.500000,6276696.500000
317789.5,6276696.5,133.00,3432.89142,3761.70864,3848.00,503.46775,0.42574,317789.500000,6276696.500000
317798.5,6276696.5,134.00,3255.51062,3717.91145,3962.00,503.45350,0.41895,317798.500000,6276696.500000
317807.5,6276696.5,135.00,3090.48302,2213.15450,4137.00,503.38990,0.41662,317807.500000,6276696.500000
317816.5,6276696.5,136.00,3232.56358,2260.29090,3884.00,503.31620,0.41311,317816.500000,6276696.500000
317825.5,6276696.5,137.00,3132.73290,3220.13517,2622.00,503.24660,0.40776,317825.500000,6276696.500000
317834.5,6276696.5,138.00,2673.59979,2189.88956,3686.00,503.18725,0.40949,317834.500000,6276696.500000
317843.5,6276696.5,139.00,3216.44114,2816.84358,3851.00,503.13605,0.41700,317843.500000,6276696.500000
316628.5,6276687.5,140.00,2613.80840,1955.98420,2444.00,499.28420,0.45966,316628.500000,6276687.500000
316637.5,6276687.5,141.00,3754.39235,2844.12898,2379.00,499.39850,0.47829,316637.500000,6276687.500000
316646.5,6276687.5,142.00,4312.81035,3065.89910,2930.00,499.50420,0.50503,316646.500000,6276687.500000
316655.5,6276687.5,143.00,2390.31447,2912.02091,2628.00,499.60330,0.52753,316655.500000,6276687.500000
316664.5,6276687.5,144.00,2926.26622,2647.97575,2894.00,499.69660,0.52959,316664.500000,6276687.500000
316673.5,6276687.5,145.00,2894.50888,2868.33475,2743.00,499.78520,0.52465,316673.500000,6276687.500000
316682.5,6276687.5,146.00,3047.35262,2441.66062,2863.00,499.87100,0.51979,316682.500000,6276687.500000
